Time,Height,KineticEnergy
0,10,0
0.001,9.99999,4.81181e-05
0.002,9.99997,0.000192472
0.003,9.99994,0.000433062
0.004,9.9999,0.000769889
0.005,9.99985,0.00120295
0.006,9.99979,0.00173225
0.007,9.99973,0.00235778
0.008,9.99965,0.00307956
0.009,9.99956,0.00389756
0.01,9.99946,0.00481181
0.011,9.99935,0.00582228
0.012,9.99923,0.006929
0.013,9.99911,0.00813195
0.014,9.99897,0.00943114
0.015,9.99882,0.0108266
0.016,9.99867,0.0123182
0.017,9.9985,0.0139061
0.018,9.99832,0.0155902
0.019,9.99814,0.0173706
0.02,9.99794,0.0192472
0.021,9.99773,0.0212201
0.022,9.99752,0.0232891
0.023,9.99729,0.0254544
0.024,9.99706,0.027716
0.025,9.99681,0.0300738
0.026,9.99656,0.0325278
0.027,9.99629,0.0350781
0.028,9.99602,0.0377246
0.029,9.99573,0.0404673
0.03,9.99544,0.0433062
0.031,9.99513,0.0462414
0.032,9.99482,0.0492729
0.033,9.9945,0.0524006
0.034,9.99416,0.0556245
0.035,9.99382,0.0589446
0.036,9.99347,0.062361
0.037,9.9931,0.0658736
0.038,9.99273,0.0694825
0.039,9.99235,0.0731876
0.04,9.99196,0.0769889
0.041,9.99155,0.0808864
0.042,9.99114,0.0848802
0.043,9.99072,0.0889703
0.044,9.99029,0.0931565
0.045,9.98985,0.0974391
0.046,9.9894,0.101818
0.047,9.98893,0.106293
0.048,9.98846,0.110864
0.049,9.98798,0.115531
0.05,9.98749,0.120295
0.051,9.98699,0.125155
0.052,9.98648,0.130111
0.053,9.98596,0.135164
0.054,9.98543,0.140312
0.055,9.98489,0.145557
0.056,9.98434,0.150898
0.057,9.98378,0.156336
0.058,9.98322,0.161869
0.059,9.98264,0.167499
0.06,9.98205,0.173225
0.061,9.98145,0.179047
0.062,9.98084,0.184966
0.063,9.98022,0.190981
0.064,9.9796,0.197092
0.065,9.97896,0.203299
0.066,9.97831,0.209602
0.067,9.97765,0.216002
0.068,9.97699,0.222498
0.069,9.97631,0.22909
0.07,9.97562,0.235778
0.071,9.97493,0.242563
0.072,9.97422,0.249444
0.073,9.9735,0.256421
0.074,9.97278,0.263494
0.075,9.97204,0.270664
0.076,9.9713,0.27793
0.077,9.97054,0.285292
0.078,9.96978,0.29275
0.079,9.969,0.300305
0.08,9.96822,0.307956
0.081,9.96742,0.315703
0.082,9.96662,0.323546
0.083,9.9658,0.331485
0.084,9.96498,0.339521
0.085,9.96414,0.347653
0.086,9.9633,0.355881
0.087,9.96245,0.364206
0.088,9.96158,0.372626
0.089,9.96071,0.381143
0.09,9.95983,0.389756
0.091,9.95894,0.398466
0.092,9.95803,0.407271
0.093,9.95712,0.416173
0.094,9.9562,0.425171
0.095,9.95527,0.434265
0.096,9.95432,0.443456
0.097,9.95337,0.452743
0.098,9.95241,0.462126
0.099,9.95144,0.471605
0.1,9.95046,0.48118
0.101,9.94947,0.490852
0.102,9.94847,0.50062
0.103,9.94746,0.510484
0.104,9.94644,0.520445
0.105,9.94541,0.530502
0.106,9.94437,0.540654
0.107,9.94332,0.550904
0.108,9.94226,0.561249
0.109,9.94119,0.571691
0.11,9.94011,0.582228
0.111,9.93902,0.592862
0.112,9.93792,0.603593
0.113,9.93681,0.614419
0.114,9.9357,0.625342
0.115,9.93457,0.636361
0.116,9.93343,0.647476
0.117,9.93228,0.658688
0.118,9.93112,0.669996
0.119,9.92996,0.6814
0.12,9.92878,0.6929
0.121,9.92759,0.704496
0.122,9.9264,0.716189
0.123,9.92519,0.727978
0.124,9.92397,0.739863
0.125,9.92275,0.751845
0.126,9.92151,0.763922
0.127,9.92026,0.776096
0.128,9.91901,0.788366
0.129,9.91774,0.800732
0.13,9.91647,0.813195
0.131,9.91518,0.825754
0.132,9.91389,0.838409
0.133,9.91258,0.85116
0.134,9.91127,0.864008
0.135,9.90994,0.876951
0.136,9.90861,0.889991
0.137,9.90727,0.903128
0.138,9.90591,0.91636
0.139,9.90455,0.929689
0.14,9.90318,0.943114
0.141,9.90179,0.956635
0.142,9.9004,0.970252
0.143,9.899,0.983966
0.144,9.89758,0.997776
0.145,9.89616,1.01168
0.146,9.89473,1.02568
0.147,9.89329,1.03978
0.148,9.89183,1.05398
0.149,9.89037,1.06827
0.15,9.8889,1.08266
0.151,9.88742,1.09714
0.152,9.88593,1.11172
0.153,9.88443,1.1264
0.154,9.88292,1.14117
0.155,9.8814,1.15604
0.156,9.87987,1.171
0.157,9.87833,1.18606
0.158,9.87678,1.20122
0.159,9.87522,1.21647
0.16,9.87365,1.23182
0.161,9.87207,1.24727
0.162,9.87048,1.26281
0.163,9.86888,1.27845
0.164,9.86727,1.29418
0.165,9.86565,1.31001
0.166,9.86402,1.32594
0.167,9.86239,1.34196
0.168,9.86074,1.35808
0.169,9.85908,1.3743
0.17,9.85741,1.39061
0.171,9.85573,1.40702
0.172,9.85405,1.42352
0.173,9.85235,1.44013
0.174,9.85064,1.45682
0.175,9.84893,1.47362
0.176,9.8472,1.4905
0.177,9.84546,1.50749
0.178,9.84372,1.52457
0.179,9.84196,1.54175
0.18,9.8402,1.55902
0.181,9.83842,1.5764
0.182,9.83663,1.59386
0.183,9.83484,1.61143
0.184,9.83303,1.62908
0.185,9.83122,1.64684
0.186,9.82939,1.66469
0.187,9.82756,1.68264
0.188,9.82572,1.70068
0.189,9.82386,1.71882
0.19,9.822,1.73706
0.191,9.82012,1.75539
0.192,9.81824,1.77382
0.193,9.81635,1.79235
0.194,9.81444,1.81097
0.195,9.81253,1.82969
0.196,9.81061,1.8485
0.197,9.80868,1.86741
0.198,9.80673,1.88642
0.199,9.80478,1.90552
0.2,9.80282,1.92472
0.201,9.80085,1.94402
0.202,9.79887,1.96341
0.203,9.79687,1.9829
0.204,9.79487,2.00248
0.205,9.79286,2.02216
0.206,9.79084,2.04194
0.207,9.78881,2.06181
0.208,9.78677,2.08178
0.209,9.78472,2.10184
0.21,9.78266,2.12201
0.211,9.78059,2.14226
0.212,9.77851,2.16262
0.213,9.77642,2.18307
0.214,9.77432,2.20361
0.215,9.77221,2.22426
0.216,9.77009,2.245
0.217,9.76796,2.26583
0.218,9.76583,2.28676
0.219,9.76368,2.30779
0.22,9.76152,2.32891
0.221,9.75935,2.35013
0.222,9.75717,2.37145
0.223,9.75499,2.39286
0.224,9.75279,2.41437
0.225,9.75058,2.43598
0.226,9.74836,2.45768
0.227,9.74614,2.47947
0.228,9.7439,2.50137
0.229,9.74165,2.52336
0.23,9.7394,2.54544
0.231,9.73713,2.56763
0.232,9.73486,2.58991
0.233,9.73257,2.61228
0.234,9.73027,2.63475
0.235,9.72797,2.65732
0.236,9.72565,2.67998
0.237,9.72333,2.70274
0.238,9.72099,2.7256
0.239,9.71865,2.74855
0.24,9.71629,2.7716
0.241,9.71393,2.79474
0.242,9.71156,2.81799
0.243,9.70917,2.84132
0.244,9.70678,2.86476
0.245,9.70438,2.88829
0.246,9.70196,2.91191
0.247,9.69954,2.93563
0.248,9.69711,2.95945
0.249,9.69466,2.98337
0.25,9.69221,3.00738
0.251,9.68975,3.03149
0.252,9.68728,3.05569
0.253,9.68479,3.07999
0.254,9.6823,3.10438
0.255,9.6798,3.12888
0.256,9.67729,3.15346
0.257,9.67477,3.17815
0.258,9.67224,3.20293
0.259,9.6697,3.22781
0.26,9.66715,3.25278
0.261,9.66459,3.27785
0.262,9.66202,3.30302
0.263,9.65944,3.32828
0.264,9.65685,3.35364
0.265,9.65425,3.37909
0.266,9.65164,3.40464
0.267,9.64902,3.43029
0.268,9.64639,3.45603
0.269,9.64375,3.48187
0.27,9.6411,3.50781
0.271,9.63844,3.53384
0.272,9.63577,3.55997
0.273,9.6331,3.58619
0.274,9.63041,3.61251
0.275,9.62771,3.63893
0.276,9.625,3.66544
0.277,9.62229,3.69205
0.278,9.61956,3.71876
0.279,9.61682,3.74556
0.28,9.61407,3.77246
0.281,9.61132,3.79945
0.282,9.60855,3.82654
0.283,9.60578,3.85373
0.284,9.60299,3.88101
0.285,9.60019,3.90839
0.286,9.59739,3.93586
0.287,9.59457,3.96344
0.288,9.59175,3.9911
0.289,9.58891,4.01887
0.29,9.58607,4.04673
0.291,9.58321,4.07468
0.292,9.58035,4.10274
0.293,9.57747,4.13089
0.294,9.57459,4.15913
0.295,9.5717,4.18747
0.296,9.56879,4.21591
0.297,9.56588,4.24445
0.298,9.56295,4.27308
0.299,9.56002,4.3018
0.3,9.55708,4.33062
0.301,9.55413,4.35954
0.302,9.55116,4.38856
0.303,9.54819,4.41767
0.304,9.54521,4.44688
0.305,9.54222,4.47618
0.306,9.53921,4.50558
0.307,9.5362,4.53508
0.308,9.53318,4.56467
0.309,9.53015,4.59436
0.31,9.52711,4.62414
0.311,9.52406,4.65403
0.312,9.521,4.684
0.313,9.51793,4.71408
0.314,9.51485,4.74425
0.315,9.51176,4.77451
0.316,9.50866,4.80488
0.317,9.50555,4.83533
0.318,9.50243,4.86589
0.319,9.4993,4.89654
0.32,9.49616,4.92729
0.321,9.49301,4.95813
0.322,9.48985,4.98907
0.323,9.48668,5.02011
0.324,9.4835,5.05124
0.325,9.48032,5.08247
0.326,9.47712,5.11379
0.327,9.47391,5.14521
0.328,9.47069,5.17673
0.329,9.46746,5.20835
0.33,9.46423,5.24006
0.331,9.46098,5.27186
0.332,9.45772,5.30376
0.333,9.45446,5.33576
0.334,9.45118,5.36786
0.335,9.44789,5.40005
0.336,9.4446,5.43234
0.337,9.44129,5.46472
0.338,9.43798,5.4972
0.339,9.43465,5.52977
0.34,9.43131,5.56245
0.341,9.42797,5.59521
0.342,9.42461,5.62808
0.343,9.42125,5.66104
0.344,9.41787,5.6941
0.345,9.41449,5.72725
0.346,9.4111,5.7605
0.347,9.40769,5.79385
0.348,9.40428,5.82729
0.349,9.40085,5.86083
0.35,9.39742,5.89446
0.351,9.39398,5.92819
0.352,9.39052,5.96202
0.353,9.38706,5.99594
0.354,9.38359,6.02996
0.355,9.38011,6.06408
0.356,9.37661,6.09829
0.357,9.37311,6.1326
0.358,9.3696,6.167
0.359,9.36608,6.2015
0.36,9.36255,6.2361
0.361,9.359,6.27079
0.362,9.35545,6.30558
0.363,9.35189,6.34047
0.364,9.34832,6.37545
0.365,9.34474,6.41053
0.366,9.34115,6.4457
0.367,9.33755,6.48097
0.368,9.33394,6.51634
0.369,9.33032,6.5518
0.37,9.32669,6.58736
0.371,9.32305,6.62302
0.372,9.3194,6.65877
0.373,9.31574,6.69462
0.374,9.31207,6.73056
0.375,9.30839,6.7666
0.376,9.30471,6.80274
0.377,9.30101,6.83897
0.378,9.2973,6.8753
0.379,9.29358,6.91172
0.38,9.28985,6.94825
0.381,9.28612,6.98486
0.382,9.28237,7.02158
0.383,9.27861,7.05839
0.384,9.27484,7.0953
0.385,9.27107,7.1323
0.386,9.26728,7.1694
0.387,9.26348,7.20659
0.388,9.25968,7.24388
0.389,9.25586,7.28127
