Time,Z_numerical,Z_analytical
0,10,10
0.01,9.99902,9.99951
0.02,9.99706,9.99804
0.03,9.99411,9.99559
0.04,9.99019,9.99215
0.05,9.98528,9.98774
0.06,9.9794,9.98234
0.07,9.97253,9.97597
0.08,9.96468,9.96861
0.09,9.95585,9.96027
0.1,9.94604,9.95095
0.11,9.93525,9.94065
0.12,9.92348,9.92937
0.13,9.91073,9.91711
0.14,9.897,9.90386
0.15,9.88228,9.88964
0.16,9.86658,9.87443
0.17,9.84991,9.85825
0.18,9.83225,9.84108
0.19,9.81361,9.82293
0.2,9.79399,9.8038
0.21,9.77339,9.78369
0.22,9.75181,9.7626
0.23,9.72924,9.74053
0.24,9.7057,9.71747
0.25,9.68117,9.69344
0.26,9.65567,9.66842
0.27,9.62918,9.64243
0.28,9.60171,9.61545
0.29,9.57326,9.58749
0.3,9.54383,9.55855
0.31,9.51342,9.52863
0.32,9.48203,9.49773
0.33,9.44966,9.46585
0.34,9.4163,9.43298
0.35,9.38197,9.39914
0.36,9.34665,9.36431
0.37,9.31036,9.32851
0.38,9.27308,9.29172
0.39,9.23482,9.25395
0.4,9.19558,9.2152
0.41,9.15536,9.17547
0.42,9.11416,9.13476
0.43,9.07197,9.09307
0.44,9.02881,9.05039
0.45,8.98466,9.00674
0.46,8.93954,8.9621
0.47,8.89343,8.91649
0.48,8.84634,8.86989
0.49,8.79827,8.82231
0.5,8.74922,8.77375
0.51,8.69919,8.72421
0.52,8.64818,8.67369
0.53,8.59619,8.62219
0.54,8.54321,8.5697
0.55,8.48926,8.51624
0.56,8.43432,8.46179
0.57,8.37841,8.40637
0.58,8.32151,8.34996
0.59,8.26363,8.29257
0.6,8.20477,8.2342
0.61,8.14493,8.17485
0.62,8.08411,8.11452
0.63,8.0223,8.05321
0.64,7.95952,7.99091
0.65,7.89576,7.92764
0.66,7.83101,7.86338
0.67,7.76528,7.79815
0.68,7.69857,7.73193
0.69,7.63089,7.66473
0.7,7.56222,7.59655
0.71,7.49256,7.52739
0.72,7.42193,7.45725
0.73,7.35032,7.38613
0.74,7.27773,7.31402
0.75,7.20415,7.24094
0.76,7.12959,7.16687
0.77,7.05406,7.09183
0.78,6.97754,7.0158
0.79,6.90004,6.93879
0.8,6.82156,6.8608
0.81,6.7421,6.78183
0.82,6.66166,6.70188
0.83,6.58023,6.62095
0.84,6.49783,6.53903
0.85,6.41445,6.45614
0.86,6.33008,6.37226
0.87,6.24473,6.28741
0.88,6.1584,6.20157
0.89,6.0711,6.11475
0.9,5.98281,6.02695
0.91,5.89353,5.93817
0.92,5.80328,5.84841
0.93,5.71205,5.75767
0.94,5.61984,5.66594
0.95,5.52664,5.57324
0.96,5.43246,5.47955
0.97,5.33731,5.38489
0.98,5.24117,5.28924
0.99,5.14405,5.19261
1,5.04595,5.095
1.01,4.94687,4.99641
1.02,4.84681,4.89684
1.03,4.74576,4.79629
1.04,4.64374,4.69475
1.05,4.54074,4.59224
1.06,4.43675,4.48874
1.07,4.33178,4.38427
1.08,4.22583,4.27881
1.09,4.11891,4.17237
1.1,4.011,4.06495
1.11,3.9021,3.95655
1.12,3.79223,3.84717
1.13,3.68138,3.73681
1.14,3.56955,3.62546
1.15,3.45673,3.51314
1.16,3.34293,3.39983
1.17,3.22816,3.28555
1.18,3.1124,3.17028
1.19,2.99566,3.05403
1.2,2.87794,2.9368
1.21,2.75924,2.81859
1.22,2.63956,2.6994
1.23,2.51889,2.57923
1.24,2.39725,2.45807
1.25,2.27463,2.33594
1.26,2.15102,2.21282
1.27,2.02643,2.08873
1.28,1.90086,1.96365
1.29,1.77432,1.83759
1.3,1.64679,1.71055
1.31,1.51827,1.58253
1.32,1.38878,1.45353
1.33,1.25831,1.32355
1.34,1.12686,1.19258
1.35,0.99442,1.06064
1.36,0.861004,0.927712
1.37,0.726607,0.793805
1.38,0.591229,0.658918
1.39,0.45487,0.523049
1.4,0.31753,0.3862
1.41,0.179209,0.248369
1.42,0.039907,0.109558
1.43,-0.100376,-0.0302345
1.44,-0.24164,-0.171008
